OID_,Join_Count,TARGET_FID,FID_,ORIG_FID,Telephone,Cost,Status,Name,Id,gridcode,suitab,Lat,Lon
0,1,0,0.000000000000000,1.000000000000000,45185741.000000000000000,1250.000000000000000,For Sale,Dexter Cooper,1,0,Best,47.738601494400001,13.036289235800000
1,1,1,1.000000000000000,2.000000000000000,45160812.000000000000000,1962.000000000000000,For Sale,Belen Khan,1,0,Best,47.738728700199999,13.038471473800000
2,1,2,2.000000000000000,3.000000000000000,45232617.000000000000000,1016.000000000000000,For Sale,Brendon Tapia,1,0,Best,47.739762713200001,13.056964099800000
3,1,3,3.000000000000000,4.000000000000000,45119663.000000000000000,1051.000000000000000,For Rent,Nora Rasmussen,1,0,Best,47.740418359800003,13.036824367199999
4,1,4,4.000000000000000,5.000000000000000,45238289.000000000000000,1576.000000000000000,For Sale,Messiah Roach,1,0,Best,47.744349056799997,13.082024764500000
5,1,5,5.000000000000000,6.000000000000000,45205720.000000000000000,1407.000000000000000,For Sale,Shea Steele,1,0,Best,47.746444304100002,13.058371617900001
6,1,6,6.000000000000000,7.000000000000000,45154047.000000000000000,1795.000000000000000,For Sale,Sadie Pace,1,0,Best,47.749810197599999,13.059165391800001
7,1,7,7.000000000000000,8.000000000000000,45135140.000000000000000,1482.000000000000000,For Rent,Maia Vance,1,0,Best,47.750621905199999,13.065381799300001
8,1,8,8.000000000000000,9.000000000000000,45128537.000000000000000,1274.000000000000000,For Sale,Jaden Giles,1,0,Best,47.751243742299998,13.062194673600001
9,1,9,9.000000000000000,10.000000000000000,45166287.000000000000000,1662.000000000000000,For Rent,Eugene Hendricks,1,0,Best,47.754412851300003,13.013107143599999
10,1,10,10.000000000000000,11.000000000000000,45195810.000000000000000,1765.000000000000000,For Sale,Gia Mendoza,2,1,Good,47.754829700999998,13.033846049299999
11,1,11,11.000000000000000,12.000000000000000,45203625.000000000000000,1436.000000000000000,For Rent,Jamie Hardy,1,0,Best,47.775656409000000,12.992122073299999
12,1,12,12.000000000000000,13.000000000000000,45240889.000000000000000,1301.000000000000000,For Sale,Semaj Wong,1,0,Best,47.777774950800001,13.067905310100000
13,1,13,13.000000000000000,14.000000000000000,45127554.000000000000000,1870.000000000000000,For Rent,Deandre Figueroa,1,0,Best,47.779158396400000,13.071718451300001
14,1,14,14.000000000000000,15.000000000000000,45216039.000000000000000,1635.000000000000000,For Rent,Kaylee Erickson,1,0,Best,47.780316512299997,13.046351415400000
15,1,15,15.000000000000000,16.000000000000000,45245744.000000000000000,1571.000000000000000,For Rent,Arianna Dixon,1,0,Best,47.788403628600001,13.051225964100000
16,1,16,16.000000000000000,17.000000000000000,45103962.000000000000000,1218.000000000000000,For Rent,Emerson Sosa,1,0,Best,47.788576694299998,13.051069217100000
17,1,17,17.000000000000000,18.000000000000000,45229254.000000000000000,1902.000000000000000,For Sale,Dean Hobbs,1,0,Best,47.789126021999998,12.996432426700000
18,1,18,18.000000000000000,19.000000000000000,45196260.000000000000000,1834.000000000000000,For Rent,Wayne Parks,1,0,Best,47.789552839300001,12.996780174300000
19,1,19,19.000000000000000,20.000000000000000,45229096.000000000000000,1872.000000000000000,For Sale,Chaz Hudson,1,0,Best,47.789818215399997,13.070460460800000
20,1,20,20.000000000000000,21.000000000000000,45159468.000000000000000,1421.000000000000000,For Rent,Keshawn Hunt,1,0,Best,47.792042316000000,13.060870749599999
21,1,21,21.000000000000000,22.000000000000000,45208691.000000000000000,1918.000000000000000,For Rent,Elaine Orr,1,0,Best,47.793500377299999,13.027313608100000
22,1,22,22.000000000000000,23.000000000000000,45207212.000000000000000,1959.000000000000000,For Rent,Myles Lin,1,0,Best,47.794162690000000,12.985132968100000
23,1,23,23.000000000000000,24.000000000000000,45183137.000000000000000,1233.000000000000000,For Rent,Ricky Kennedy,1,0,Best,47.794441749400001,13.056531549700001
