OID_,Telephone,Cost,Status,Name,suitab
0,45185741.000000000000000,1250.000000000000000,For Sale,Dexter Cooper,Best
1,45160812.000000000000000,1962.000000000000000,For Sale,Belen Khan,Best
2,45232617.000000000000000,1016.000000000000000,For Sale,Brendon Tapia,Best
3,45119663.000000000000000,1051.000000000000000,For Rent,Nora Rasmussen,Best
4,45238289.000000000000000,1576.000000000000000,For Sale,Messiah Roach,Best
5,45205720.000000000000000,1407.000000000000000,For Sale,Shea Steele,Best
6,45154047.000000000000000,1795.000000000000000,For Sale,Sadie Pace,Best
7,45135140.000000000000000,1482.000000000000000,For Rent,Maia Vance,Best
8,45128537.000000000000000,1274.000000000000000,For Sale,Jaden Giles,Best
9,45166287.000000000000000,1662.000000000000000,For Rent,Eugene Hendricks,Best
10,45195810.000000000000000,1765.000000000000000,For Sale,Gia Mendoza,Good
11,45203625.000000000000000,1436.000000000000000,For Rent,Jamie Hardy,Best
12,45240889.000000000000000,1301.000000000000000,For Sale,Semaj Wong,Best
13,45127554.000000000000000,1870.000000000000000,For Rent,Deandre Figueroa,Best
14,45216039.000000000000000,1635.000000000000000,For Rent,Kaylee Erickson,Best
15,45245744.000000000000000,1571.000000000000000,For Rent,Arianna Dixon,Best
16,45103962.000000000000000,1218.000000000000000,For Rent,Emerson Sosa,Best
17,45229254.000000000000000,1902.000000000000000,For Sale,Dean Hobbs,Best
18,45196260.000000000000000,1834.000000000000000,For Rent,Wayne Parks,Best
19,45229096.000000000000000,1872.000000000000000,For Sale,Chaz Hudson,Best
20,45159468.000000000000000,1421.000000000000000,For Rent,Keshawn Hunt,Best
21,45208691.000000000000000,1918.000000000000000,For Rent,Elaine Orr,Best
22,45207212.000000000000000,1959.000000000000000,For Rent,Myles Lin,Best
23,45183137.000000000000000,1233.000000000000000,For Rent,Ricky Kennedy,Best
24,45227581.000000000000000,1316.000000000000000,For Rent,Oswaldo Cook,Moderate
25,45182071.000000000000000,1956.000000000000000,For Rent,Lewis Branch,Best
26,45183753.000000000000000,1301.000000000000000,For Sale,Preston Rivers,Best
27,45145101.000000000000000,1241.000000000000000,For Rent,Ahmed Castillo,Best
28,45125012.000000000000000,1333.000000000000000,For Rent,Aliyah Conner,Best
29,45220587.000000000000000,1312.000000000000000,For Rent,Amare Levine,Best
30,45125234.000000000000000,1176.000000000000000,For Sale,Jaidyn Kelley,Bad
31,45205752.000000000000000,1438.000000000000000,For Rent,Leilani Griffin,Best
32,45163399.000000000000000,1901.000000000000000,For Sale,Addison Black,Best
33,45169581.000000000000000,1542.000000000000000,For Sale,Paulina Gallegos,Best
34,45233367.000000000000000,1544.000000000000000,For Rent,Essence Irwin,Best
35,45145767.000000000000000,1411.000000000000000,For Sale,Izaiah Vincent,Best
36,45195272.000000000000000,1440.000000000000000,For Sale,Lucy Mcgee,Best
37,45163936.000000000000000,1070.000000000000000,For Rent,Frederick Butler,Best
38,45216488.000000000000000,1772.000000000000000,For Sale,Jesus Trevino,Best
39,45188032.000000000000000,1928.000000000000000,For Sale,Alvaro Wheeler,Best
40,45172879.000000000000000,1472.000000000000000,For Sale,Isaac Navarro,Best
41,45108923.000000000000000,1836.000000000000000,For Sale,Isis Wright,Best
42,45181986.000000000000000,1888.000000000000000,For Sale,Alivia Wiley,Best
43,45118060.000000000000000,1739.000000000000000,For Rent,Turner Hinton,Best
44,45215797.000000000000000,1741.000000000000000,For Sale,Sanaa Barron,Best
45,45245316.000000000000000,1445.000000000000000,For Sale,Chaya Velasquez,Best
46,45123867.000000000000000,1851.000000000000000,For Sale,Derrick Mann,Best
47,45208125.000000000000000,1229.000000000000000,For Rent,Yael Ewing,Best
48,45133119.000000000000000,1825.000000000000000,For Sale,Raphael Pace,Best
49,45216234.000000000000000,1354.000000000000000,For Rent,Raven Dawson,Best
50,45163385.000000000000000,1149.000000000000000,For Rent,Oscar Shah,Best
51,45221263.000000000000000,1761.000000000000000,For Rent,Julio Whitney,Best
52,45147872.000000000000000,1177.000000000000000,For Rent,Arnav Krueger,Best
53,45170382.000000000000000,1620.000000000000000,For Rent,Zion Guerrero,Best
54,45247643.000000000000000,1062.000000000000000,For Sale,Arjun Contreras,Good
55,45162173.000000000000000,1514.000000000000000,For Sale,Marisa Hicks,Best
56,45230970.000000000000000,1519.000000000000000,For Sale,Fisher Foster,Best
57,45133242.000000000000000,1919.000000000000000,For Sale,Jonas Fischer,Best
58,45243701.000000000000000,1710.000000000000000,For Rent,Leah Hopkins,Best
59,45202079.000000000000000,1393.000000000000000,For Sale,Mariah Sharp,Best
60,45163865.000000000000000,1177.000000000000000,For Sale,Shawn Lyons,Best
61,45225775.000000000000000,1515.000000000000000,For Rent,Rashad Boyd,Best
62,45182798.000000000000000,1509.000000000000000,For Sale,Kaden Tran,Best
63,45218813.000000000000000,1148.000000000000000,For Rent,Ben Friedman,Best
64,45230407.000000000000000,1924.000000000000000,For Sale,Jaylee Wheeler,Best
65,45175811.000000000000000,1579.000000000000000,For Rent,Shyann Hoover,Best
66,45167183.000000000000000,1660.000000000000000,For Rent,Van Ochoa,Best
67,45201130.000000000000000,1781.000000000000000,For Rent,Hamza Marsh,Best
68,45233316.000000000000000,1129.000000000000000,For Sale,Melvin Booker,Good
69,45175044.000000000000000,1380.000000000000000,For Sale,Carson Abbott,Good
